src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901797,63805,28251,REJ,0.02,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901797,63805,14993,REJ,0.03,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901797,63805,38231,REJ,0.01,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901797,63805,64904,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901797,63805,19665,REJ,0.02,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901797,63805,36509,REJ,0.01,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901797,63805,22395,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901797,63806,21936,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901797,63805,20128,REJ,0.05,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901798,63805,30149,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901798,63806,48977,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901798,63805,33655,REJ,0.02,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901798,63805,33702,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901799,63805,45464,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901800,63805,11139,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901800,63805,33635,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901800,63806,32410,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901800,63806,49776,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901801,63805,3455,REJ,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901801,63805,54955,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901801,63805,29960,REJ,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901801,63805,23913,REJ,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901801,63805,48411,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901802,63806,65126,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901802,63805,53141,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901802,63806,21144,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901802,63805,45733,REJ,0.04,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901802,63805,41558,REJ,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901802,63805,20902,REJ,0.04,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901803,63805,41649,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901803,63805,35916,REJ,0.02,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901803,63805,44429,REJ,0.03,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901803,63805,44442,REJ,0.04,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901803,63805,59130,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901804,63805,35600,REJ,0.01,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901804,63805,32578,REJ,0.02,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901804,63805,17919,REJ,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901804,63805,26747,REJ,0.01,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901804,63805,5884,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901804,63805,18316,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901805,63806,30992,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901805,63805,16714,REJ,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901805,63805,15294,REJ,0.05,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901805,63805,54686,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901805,63806,54643,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901805,63806,25068,S0,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901806,63805,42749,REJ,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901806,63805,29877,REJ,0.02,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901806,63805,35786,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901806,63805,20212,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901806,63806,9388,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901807,63806,59400,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901807,63805,11358,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901807,63805,24380,REJ,0.04,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901807,63805,64824,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901808,63805,31509,S0,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901808,63805,46917,REJ,0.05,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901808,63805,34417,REJ,0.02,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901808,63805,18998,REJ,0.02,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901808,63805,39379,REJ,0.03,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901808,63805,31789,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901808,63805,49231,S0,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901808,63805,54694,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901809,63806,18998,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901809,63805,8898,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901809,63805,56914,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901809,63805,40086,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901809,63805,47460,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901809,63805,46926,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901810,63805,58574,REJ,0.02,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901810,63805,61600,REJ,0.0,
192.168.202.79,192.168.207.4,udp,0,1970-01-01 00:00:01.331901805,53279,53,SF,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901810,63805,13014,REJ,0.05,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901810,63805,44784,REJ,0.01,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901810,63805,17367,REJ,0.05,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901811,63805,60160,REJ,0.04,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901811,63805,13715,REJ,0.04,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901811,63805,14274,REJ,0.04,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901811,63805,1486,REJ,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901812,63805,41359,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901812,63805,63648,REJ,0.02,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901812,63805,26349,REJ,0.03,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901812,63805,33931,REJ,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901812,63805,4170,REJ,0.05,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901812,63805,63120,REJ,0.06,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901812,63805,44842,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901812,63805,40185,REJ,0.02,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901812,63805,51915,REJ,0.01,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901812,63805,45149,REJ,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901812,63805,2351,REJ,0.02,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901813,63805,45436,REJ,0.05,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901813,63805,48836,REJ,0.04,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901813,63805,64588,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901813,63806,39518,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901814,63805,20564,REJ,0.01,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901815,63805,28280,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901815,63805,63378,S0,0.0,
