domain,ip,is_dga,confidence
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
safebrowsing.google.com,192.168.0.54,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.54,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
play.google.com,192.168.0.54,0,0.96
play.google.com,192.168.0.1,0,0.96
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
tools.google.com,192.168.0.54,0,1.0
tools.google.com,192.168.0.1,0,1.0
client.dropbox.com,192.168.0.54,0,1.0
client.dropbox.com,192.168.0.1,0,1.0
watson.microsoft.com,192.168.0.54,0,1.0
watson.microsoft.com,192.168.0.1,0,1.0
wpad.pwned.se,192.168.0.54,0,0.96
wpad.pwned.se,192.168.0.1,0,0.96
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
generatesecurepassword.com,192.168.0.53,1,0.89
generatesecurepassword.com,192.168.0.1,1,0.89
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.53,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.1,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.53,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.1,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.53,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.1,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.53,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.1,1,1.0
/þ*y\¶š.pwned.se,192.168.0.53,0,0.96
/þ*y\¶š.pwned.se,192.168.0.1,0,0.96
/þ*y\¶š.pwned.se,192.168.0.53,0,0.96
/þ*y\¶š.pwned.se,192.168.0.1,0,0.96
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.53,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.1,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.53,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.1,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
e.pwned.se,192.168.0.53,0,0.96
e.pwned.se,192.168.0.1,0,0.96
e.pwned.se,192.168.0.53,0,0.96
e.pwned.se,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.1,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.1,1,1.0
~.pwned.se,192.168.0.53,0,0.96
~.pwned.se,192.168.0.1,0,0.96
~.pwned.se,192.168.0.53,0,0.96
~.pwned.se,192.168.0.1,0,0.96
ƒ\030xa¦“\027\t.pwned.se,192.168.0.53,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.1,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.53,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.1,1,1.0
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.1,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.1,0,0.96
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.53,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.1,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001.pwned.se",192.168.0.53,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001.pwned.se",192.168.0.1,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.53,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.1,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.53,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.1,1,1.0
³áågî.pwned.se,192.168.0.53,0,0.69
³áågî.pwned.se,192.168.0.1,0,0.69
³áågî.pwned.se,192.168.0.53,0,0.69
³áågî.pwned.se,192.168.0.1,0,0.69
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.53,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.1,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.53,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.1,1,1.0
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.53,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.1,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.53,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.1,1,0.92
¾\fû\026<@±#é.pwned.se,192.168.0.53,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.1,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.53,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
